Ticker,Year,NET_INCOME,SALES_REV_TURN,CF_FREE_CASH_FLOW,TOT_STK_AWARDS_GIVEN_TO_EXECS,TOT_TOP_3_HIGHEST_STK_AW_AMT,2ND_HIGHEST_STK_AWARDS_AMT,2ND_HIGHEST_ALL_OTH_COMP_AMT_AW,3RD_HIGHEST_ALL_OTH_COMP_AMT_AW,2ND_HIGHEST_TOT_COMP_AMT_AW,SUSTAINALYTICS_SOCIAL_PERCENTILE,SUSTAINALYTICS_ENVIRONMENT_PCT,GICS Sector,State,
MMM,2017,1202.6,7797.2,1328,12581739,10187639,2450622.5,6805696,5209934,7535523,91.46779951,71.45337754,Industrials, Minnesota,
ABT,2017,255,6544.6,1057.2,11272284,8655154,2574646,9583239,8720508,12905076,79.37435077,87.30189087,Health Care, Illinois,
ABBV,2017,1340,7002.4,2171.6,25133638,18566023,5582775,10911418.5,9312924.5,11905366,82.44500667,74.22636523,Health Care, Illinois,
ACN,2017,891.08325,9453.592,1082.56925,28787618,22527267,3455206,5034278,4823595,6170403,89.81864115,98.96245924,Information Technology, Ireland,
ATVI,2017,105.4,1806.4,565.6,33977674.5,30960969.5,5657390.5,13166813,10856130,13649576,50.39171716,25.59949751,Information Technology, California,
AYI,2017,77.875,874.175,90.125,6667247,6667247,1666812,3650670,3362593,4105670,7.592493075,2.887155629,Technology,Georgia,
ADBE,2017,423.4885,1825.37625,683.68275,44470123,32390957,6588425,7113142,6594961,7808334,92.78713723,93.30764994,Information Technology, California,
AAP,2017,107.574,2291.335,93.9174,12554848.5,11644208,2025163,2091570.5,1070340.5,2806576,8.739997456,54.45171854,Consumer Discretionary, Virginia,
AES,2017,-422,2997.2,88.8,10879339.5,9037072.5,2047569,2945299.5,1982423,3631799.5,65.84492098,45.23572682,Utilities, Virginia,
AET,2017,408.6,15252.4,-369.82,15986654,13309044,4487327.5,9493152,6762575,10451896.5,29.73882739,64.90259069,Health Care, Connecticut,
AMG,2017,167.96,571.06,302.52,18322500,16282500,4757500,8011304,6288445,8511304,4.064860735,6.092242816,Financials, Massachusetts,
AFL,2017,1024.6,5524.4,1599,20542772.5,18117347.5,5283060,7530910,5098436,8368410,61.06279184,43.45112801,Financials, Georgia,
A,2017,171,1118,178.25,14906717,11780665,2676250,3313097,3014769,3940597,82.09527356,98.65421058,Health Care, California,
APD,2017,631,2080.84,166.52,12222506,12222506,1622219,4935971,4779283,5535971,70.47782456,75.74603725,Materials, Pennsylvania,
AKAM,2017,60.7226,622.0352,98.8978,15629016,12409605.5,3072697,3579706,2481053.5,4127398.5,64.1610502,80.64681568,Information Technology, Massachusetts,
ALB,2017,131.388,753.7262,42.8024,6320139.5,5381676,995003.5,2594116,1837566,3094741,57.94598249,41.78056928,Materials, Louisiana,
ARE,2017,36.8794,275.4518,-384.2056,24634329.5,16243853.5,4428158,5300300,4561939.5,6782800,8.213134266,63.60765086,Real Estate, California,
ALXN,2017,107.18,876.22,207.0182,23577516.5,15215423,5328326,7765299,5634058.5,8566261,25.12038661,34.15920681,Health Care, Connecticut,
AGN,2017,-825.22,3961,1070.62,24021308,18503728.5,3581358,6014022.5,5576351,6822721,52.44317837,54.86429995,Health Care, Ireland,
ADS,2017,159.82,1909.4,615.94,14694021.5,10724645,2256916,3022222.5,2721810,3633772.5,24.09536889,69.00193622,Information Technology, Texas,
LNT,2017,106.54,835.84,-175.98,5160567.5,4486875.5,812030,1411438.5,1057752,1867112,26.51164393,14.13747564,Utilities, Wisconsin,
ALL,2017,805.8,9602.4,1028.6,13653958,10835054,3612515.5,6031427.5,5390581,7738735,36.83006436,73.01195762,Financials, Illinois,
